material name     |     G vrh     |     K vrh     |     Vicker's Hardness
F4Na1Te1.5    61.6914142125583GPa   85.78249805820174GPa   12.163446514857016GPa
F4Rb1Te1.5    41.55533839373853GPa   61.083574969641916GPa   8.276867247076746GPa
F4S1.5Tl1    71.2553036475126GPa   96.04587317092087GPa   14.108978612399682GPa
F5S1.5Eu1    83.12806606358485GPa   94.67297020720862GPa   19.80356488750811GPa
F5S1.5Mn1    76.60308206083653GPa   91.55659266044529GPa   17.544959784438692GPa
F5S1.5V1    79.1236495807378GPa   88.52333566523781GPa   19.62038435798833GPa
F5Sr1Pd1.5    61.60307148991475GPa   89.5074320196885GPa   11.391531238835334GPa
F6Br1Pb1.5    72.44294526251223GPa   89.45169766390516GPa   16.14099465464581GPa
F6Fe2.5Tl1    62.709882981614484GPa   84.69609310968487GPa   12.839975556790254GPa
F6Pt1.5Bi1    66.54726211432478GPa   83.44362284923974GPa   14.889306138548033GPa
F6S1.5Pm1    77.88201965143061GPa   91.61701020720864GPa   18.134415247087198GPa
F6Se2.5Tl1    69.5659118481814GPa   89.0286576639052GPa   14.926104595627429GPa
F6V1.5Pm1    77.11170715071135GPa   93.82455019234865GPa   17.198348404404907GPa
F7Cl1Mn1.5    76.37454206083652GPa   91.09563518584464GPa   17.558558847381278GPa
F7Eu1.5W1    76.23860796055105GPa   99.13530577064215GPa   15.563500616610288GPa
F7V1.5Pu1    71.27054017800032GPa   94.68613539254315GPa   14.403318024454823GPa
F8.5Ce1Eu1.5    74.4860581105918GPa   98.75768656430554GPa   14.900849593793048GPa
F8.5Dy1.5Re1    75.574193756265GPa   96.6658097098924GPa   15.82808902384975GPa
F8.5Dy1.5W1    74.144573756265GPa   96.6658097098924GPa   15.207487063731364GPa
F8.5Er1.5Re1    77.94778259946483GPa   96.6658097098924GPa   16.87816625892249GPa
F8.5Eu1.5Pa1    71.83800559102329GPa   96.6627383820421GPa   14.225767988814031GPa
F8.5Eu1.5Pu1    71.12066559102327GPa   98.654694746569GPa   13.525890489405601GPa
F8.5Gd1.5W1    75.89405249575621GPa   95.67009694240454GPa   16.199345095747006GPa
F8.5Ho1.5Re1    75.574193756265GPa   96.6658097098924GPa   15.82808902384975GPa
F8.5Ir1.5Np1    74.16114677273076GPa   96.69477490265692GPa   15.20824650834328GPa
F8.5Ir1.5Pa1    72.06693934029849GPa   96.69477490265692GPa   14.315510292915356GPa
F8.5Ir1.5Pu1    73.52824677273074GPa   97.12033490265691GPa   14.844493891160663GPa
F8.5K1Np1.5    74.36762873854536GPa   94.49835318927758GPa   15.79587026461105GPa
F8.5Lu1.5W1    77.64916259946483GPa   96.4530297098924GPa   16.79568187472751GPa
F8.5Mn1.5Pu1    74.44650466661761GPa   95.84799838947211GPa   15.521007059860185GPa
