material name     |     G vrh     |     K vrh     |     Vicker's Hardness
F1V1Sb1.33333333    62.41087748494747GPa   136.41437449525506GPa   5.993431751635157GPa
F1V2.5Te2    65.63854868262462GPa   128.20038967976868GPa   7.566069278326534GPa
F2.5Br1.5Cs1    53.075661808937696GPa   91.7562335388474GPa   7.763111222589787GPa
F2.5I1.5Cs1    46.90695585432747GPa   79.33060672045296GPa   7.273198043352982GPa
F2.5I1.5Ir1    67.99011106365526GPa   151.83568754717436GPa   6.220720786950729GPa
F2.5I1.5Os1    63.087570373310065GPa   166.94019295645464GPa   4.2366089084660254GPa
F2.5P1.5Mn1    77.19748672086976GPa   93.9148135148272GPa   17.215041929871063GPa
F2.5S1.25I1    81.48362259275657GPa   104.92421490772415GPa   16.522427569743403GPa
F2.66666667Si1V1.33333333    77.58480181926666GPa   139.2884677163033GPa   9.859002691666706GPa
F2Fe2.5Sb1    59.14503876748819GPa   123.2807880660764GPa   6.212956665629866GPa
F2P1.33333333U1    56.62263557610649GPa   79.6188802002875GPa   11.234387697230876GPa
F2Si1Np1.5    68.81021538465791GPa   75.73562112425944GPa   18.248566742684844GPa
F2Si1Pa1.5    65.84042956232352GPa   103.80923234417978GPa   10.598421869981268GPa
F2Si1Pu1.5    69.24060275353767GPa   75.91601737016693GPa   18.422649007065715GPa
F2Si1U1.5    66.5851033545846GPa   117.44179609231789GPa   9.00505701725948GPa
F2Te1Tl1.33333333    37.832527726503976GPa   63.676172531889435GPa   6.110257833821672GPa
F3.33333333Cl1.33333333Eu1    69.62000625169371GPa   87.83965045798188GPa   15.235188902633258GPa
F3.33333333S1.33333333U1    67.49764313474503GPa   83.50650946467665GPa   15.323933906646108GPa
F3.33333333S1Os1.33333333    80.85926748810907GPa   135.1326806594262GPa   11.325379658940731GPa
F3.5Ag1.5Pt1    45.26320400483097GPa   154.95347756439628GPa   1.4088714000864924GPa
F3.5Pd1Ag1.5    55.19762572823526GPa   138.5565666417271GPa   4.118632460193928GPa
F3.66666667P1Pa1.33333333    60.65246449116899GPa   93.01021732439301GPa   10.389000512053848GPa
F3.66666667P1Ta1.33333333    92.15407457835396GPa   174.90746204167732GPa   10.325001351119294GPa
F3.66666667Te1.33333333Cs1    50.98884962556482GPa   87.34365444940852GPa   7.626941898715504GPa
F4.33333333Br1.33333333Tl1    64.82200285637815GPa   105.75198482558508GPa   9.947481849471291GPa
F4.33333333Cl1.33333333Dy1    66.16108598766162GPa   91.09912943256406GPa   12.979234038460348GPa
F4.33333333Cl1.33333333Ho1    67.48868049533179GPa   93.10396263306666GPa   13.130117707712092GPa
F4.33333333Cl1.33333333Tb1    65.61802934286625GPa   92.51156599188384GPa   12.468789316868882GPa
F4.33333333Cl1.33333333Tl1    77.76653184943979GPa   108.12950915610799GPa   14.364268313479787GPa
F4.33333333I1.33333333Tl1    64.16060540417303GPa   95.72042479998964GPa   11.289292581953877GPa
F4.33333333I1Re1.33333333    76.34623670969735GPa   180.77534154589273GPa   6.214450493452979GPa
F4.33333333Ni1Tl1.33333333    59.21268564837035GPa   97.91172377478614GPa   9.087634050278046GPa
F4.5Br1Ag1.5    54.771454803611896GPa   98.8560516344368GPa   7.424108813624137GPa
F4.5P1Yb2.5    63.09015304149401GPa   91.16092364660886GPa   11.688801821894742GPa
F4.66666667Ag1.66666667I1    55.6113765177208GPa   97.792081314759GPa   7.842685881696699GPa
F4.66666667Cl1.66666667Ni1    81.41563961779943GPa   105.0461449138125GPa   16.46738035607421GPa
F4Cl1Cu1.5    72.86444716338458GPa   99.31656445479771GPa   14.109197073250815GPa
F4K1Te1.5    71.29038672068326GPa   100.62895125924011GPa   13.214871136166607GPa
F4Na1Te1.5    70.56411940193775GPa   106.10498239264825GPa   11.968694548618585GPa
F4Rb1Te1.5    58.71621445627332GPa   93.01071985357319GPa   9.647851371024514GPa
F4S1.5Tl1    76.52137148607915GPa   100.3927654653624GPa   15.410979095824217GPa
F5S1.5Eu1    60.75653109363914GPa   105.54052019777829GPa   8.583376109047682GPa
F5S1.5Mn1    78.16621078922147GPa   119.82265182246209GPa   12.537741814142915GPa
F5S1.5V1    78.59066408582682GPa   109.71791418661407GPa   14.389268083267584GPa
F5Sr1Pd1.5    68.71370990936308GPa   102.58603664298106GPa   11.86167991514677GPa
F6Br1Pb1.5    57.42961623883973GPa   105.98954557004278GPa   7.441328988582109GPa
F6Fe2.5Tl1    64.09761527761425GPa   97.18945482735067GPa   11.01274052944593GPa
F6Pt1.5Bi1    66.99537853553542GPa   94.4102028995487GPa   12.666304009669958GPa
F6S1.5Pm1    63.22365394791771GPa   112.71541660906347GPa   8.501465850337011GPa
F6Se2.5Tl1    59.32306971691122GPa   101.59595212589129GPa   8.614273474275432GPa
F6V1.5Pm1    86.19339294456714GPa   115.5066306622472GPa   16.25469898657042GPa
F7Cl1Mn1.5    72.82415170795338GPa   120.27863353525183GPa   10.661640568971267GPa
F7Eu1.5W1    75.08991424661318GPa   171.02455285789358GPa   6.5498668378414GPa
F7V1.5Pu1    79.71014585548512GPa   109.46417525626246GPa   14.874673574529552GPa
F8.5Ce1Eu1.5    62.17081874198491GPa   104.8191767504975GPa   9.15790608729679GPa
F8.5Dy1.5Re1    76.06537898855365GPa   167.51770422069526GPa   7.008343573848423GPa
F8.5Dy1.5W1    78.08748241114682GPa   172.91250571932196GPa   7.098421566587392GPa
F8.5Er1.5Re1    76.90327262719674GPa   175.66847039519394GPa   6.650979397851145GPa
F8.5Eu1.5Pa1    61.32610563520612GPa   102.6666047307709GPa   9.16117353334914GPa
F8.5Eu1.5Pu1    63.31877485836881GPa   97.58217321097867GPa   10.65073608360438GPa
F8.5Gd1.5W1    76.46633930151833GPa   175.1886775310229GPa   6.585578129353941GPa
F8.5Ho1.5Re1    77.42334598350051GPa   176.98961039519395GPa   6.680579345533612GPa
F8.5Ir1.5Np1    80.86420333566524GPa   96.47876409292805GPa   18.24991503534851GPa
F8.5Ir1.5Pa1    79.39438753370285GPa   169.49718139960797GPa   7.642434777247786GPa
F8.5Ir1.5Pu1    79.4751700876115GPa   96.31915664891659GPa   17.653439798697175GPa
F8.5K1Np1.5    65.41785419362583GPa   112.87826306960488GPa   9.190539342484934GPa
F8.5Lu1.5W1    75.50742423207477GPa   175.69313830839047GPa   6.344126829713188GPa
F8.5Mn1.5Pu1    76.14166756213845GPa   108.67831025928064GPa   13.63374782265997GPa
F8.5Mn1Dy1.5    70.1386994744707GPa   105.60721769440372GPa   11.8923852213727GPa
F8.5Mn1Eu1.5    71.23690983454641GPa   105.79333302526874GPa   12.272537014003314GPa
F8.5Na1Np1.5    65.88007505308939GPa   112.9436961321869GPa   9.333742577486598GPa
F8.5Nd1.5Re1    75.39641543650725GPa   100.2702664680051GPa   14.964247676795576GPa
F8.5Pm1.5Os1    77.48202348158661GPa   97.72736668503819GPa   16.420424554487525GPa
F8.5Pm1.5Re1    74.7457244915212GPa   100.2702664680051GPa   14.693046226501732GPa
F8.5Pm1.5W1    75.05416026779248GPa   103.87179820720343GPa   14.100565284877089GPa
F8.5Pr1.5Re1    76.23617847083469GPa   102.3911720581584GPa   14.87374740506623GPa
F8.5Rb1Np1.5    63.19991287133943GPa   114.65629180219248GPa   8.266574269101714GPa
